Year,NPI,NPPES Provider Last Name,NPPES Provider First Name,NPPES Provider ZIP Code,City,County,NPPES Provider State,Specialty Description,Total Claim Count,Opioid Claim Count,Opioid Prescribing Rate,Extended-Release Opioid Claims,Extended-Release Opioid Prescribing Rate
2016,1689848178,NOONAN,ERIKA,84003,American Fork,Utah,UT,Family Practice,4912,258,0.0525,33,0.1279
2015,1174633408,SCLAFANI,SHAUNA,84003,American Fork,Utah,UT,Physician Assistant,4732,,,,
2016,1659307809,EBERT,SHELLY,84003,American Fork,Utah,UT,Nurse Practitioner,4283,104,0.0243,0,0
2016,1639288798,HOGGARD,TIMO,84003,American Fork,Utah,UT,Family Practice,4039,198,0.049,,
2015,1841219375,VINE,DANIEL,84003,American Fork,Utah,UT,Neurology,3949,0,0,,
2015,1639288798,HOGGARD,TIMO,84003,American Fork,Utah,UT,Family Practice,3890,234,0.0602,,
2016,1467467399,SLACK,ROBERT,84003,American Fork,Utah,UT,Family Practice,3210,215,0.067,12,0.0558
2015,1467467399,SLACK,ROBERT,84003,American Fork,Utah,UT,Family Practice,3183,183,0.0575,,
2015,1326203514,NIZAM,MOHAMMED,84003,American Fork,Utah,UT,Endocrinology,3103,0,0,,
2016,1356307540,WELKER,GLADE,84003,American Fork,Utah,UT,Nurse Practitioner,3058,177,0.0579,28,0.1582
2015,1356307540,WELKER,GLADE,84003,American Fork,Utah,UT,Nurse Practitioner,2951,169,0.0573,12,0.071
2016,1326203514,NIZAM,MOHAMMED,84003,American Fork,Utah,UT,Endocrinology,2894,0,0,0,
2015,1700815834,CARTER,M. ERIC,84003,American Fork,Utah,UT,Cardiology,2868,,,,
2016,1700815834,CARTER,M. ERIC,84003,American Fork,Utah,UT,Cardiovascular Disease (Cardiology),2849,,,,
2015,1346291796,WELCH,KERRY,84003,American Fork,Utah,UT,General Practice,2843,131,0.0461,,
2016,1346291796,WELCH,KERRY,84003,American Fork,Utah,UT,General Practice,2537,122,0.0481,,
2016,1235264169,PAULSON,TOBY,84003,American Fork,Utah,UT,Cardiovascular Disease (Cardiology),2521,,,0,
2016,1518973643,CARROLL,TYLER,84003,American Fork,Utah,UT,Family Practice,2284,86,0.0377,0,0
2015,1518973643,CARROLL,TYLER,84003,American Fork,Utah,UT,Family Practice,2127,86,0.0404,,
2016,1801013230,ANDREW,BRADLEY,84003,American Fork,Utah,UT,Physician Assistant,2120,93,0.0439,18,0.1935
2016,1184634511,HANSEN,MARLAN,84003,American Fork,Utah,UT,Internal Medicine,2007,72,0.0359,,
2015,1801013230,ANDREW,BRADLEY,84003,American Fork,Utah,UT,Physician Assistant,2002,86,0.043,11,0.1279
2015,1659595742,SHAVER,ADRIENNE,84003,American Fork,Utah,UT,Nurse Practitioner,1880,29,0.0154,,
2016,1659595742,SHAVER,ADRIENNE,84003,American Fork,Utah,UT,Nurse Practitioner,1775,,,0,
2015,1780027722,ULETT-GARCIA,TOMEIKA,84003,American Fork,Utah,UT,Nurse Practitioner,1588,20,0.0126,,
2015,1649498890,RUIZ,STEVEN,84003,American Fork,Utah,UT,Physician Assistant,1544,77,0.0499,,
2016,1801090659,CROP,JUSTIN,84003,American Fork,Utah,UT,Family Practice,1432,45,0.0314,0,0
2016,1992762918,TAHER,MOHAMMAD,84003,American Fork,Utah,UT,Neurology,1373,38,0.0277,0,0
2015,1235264169,PAULSON,TOBY,84003,American Fork,Utah,UT,Cardiology,1342,,,,
2016,1649204389,NGUYEN,THU,84003,American Fork,Utah,UT,Neurology,1270,,,0,
2016,1649498890,RUIZ,STEVEN,84003,American Fork,Utah,UT,Physician Assistant,1173,50,0.0426,0,0
2015,1649204389,NGUYEN,THU,84003,American Fork,Utah,UT,Neurology,1142,,,,
2015,1003990672,THOMSON,TERRELL,84003,American Fork,Utah,UT,Internal Medicine,1114,,,,
2015,1992762918,TAHER,MOHAMMAD,84003,American Fork,Utah,UT,Neurology,1099,42,0.0382,,
2015,1467861849,PRZYBYLA,TANYA,84003,American Fork,Utah,UT,Physician Assistant,1019,56,0.055,18,0.3214
2016,1114197159,JOLLEY,MICHAEL,84003,American Fork,Utah,UT,Internal Medicine,985,76,0.0772,18,0.2368
2015,1023127214,COSGRAVE,MICHAEL,84003,American Fork,Utah,UT,Family Practice,968,35,0.0362,,
2016,1467861849,PRZYBYLA,TANYA,84003,American Fork,Utah,UT,Physician Assistant,879,31,0.0353,0,0
2016,1629098108,MANOV,LUDMIL,84003,American Fork,Utah,UT,Psychiatry,855,,,0,
2015,1417995911,BREYER,WENDY,84003,American Fork,Utah,UT,Hematology/Oncology,821,65,0.0792,24,0.3692
2016,1700843695,REYNOLDS,CHRISTOPHER,84003,American Fork,Utah,UT,Neurology,798,18,0.0226,,
2016,1336140821,VAN ZANT,JIM,84003,American Fork,Utah,UT,Nurse Practitioner,746,,,0,
2016,1417995911,BREYER,WENDY,84003,American Fork,Utah,UT,Hematology-Oncology,723,35,0.0484,12,0.3429
2016,1780027722,ULETT-GARCIA,TOMEIKA,84003,American Fork,Utah,UT,Nurse Practitioner,707,,,0,
2015,1700843695,REYNOLDS,CHRISTOPHER,84003,American Fork,Utah,UT,Neurology,695,27,0.0388,,
2015,1538439864,SCHRENK,RONNA,84003,American Fork,Utah,UT,Physician Assistant,667,0,0,,
2016,1194805978,NGO,DAWN,84003,American Fork,Utah,UT,Physician Assistant,665,0,0,0,
2015,1689848178,NOONAN,ERIKA,84003,American Fork,Utah,UT,Family Practice,664,46,0.0693,,
2015,1487090502,MONSON,STEVEN,84003,American Fork,Utah,UT,Family Practice,650,88,0.1354,,
2016,1104895507,HUNSAKER,JESSE,84003,American Fork,Utah,UT,Ophthalmology,633,,,0,
2015,1104895507,HUNSAKER,JESSE,84003,American Fork,Utah,UT,Ophthalmology,620,,,,
2015,1114197159,JOLLEY,MICHAEL,84003,American Fork,Utah,UT,Internal Medicine,601,33,0.0549,,
2016,1538439864,SCHRENK,RONNA,84003,American Fork,Utah,UT,Physician Assistant,589,0,0,0,
2016,1316064421,SUMPTER,ROBERT,84003,American Fork,Utah,UT,Physician Assistant,576,238,0.4132,0,0
2016,1457493967,CHIPMAN,GREGORY,84003,American Fork,Utah,UT,Hematology-Oncology,567,51,0.0899,,
2015,1194805978,NGO,DAWN,84003,American Fork,Utah,UT,Physician Assistant,548,,,,
2016,1487090502,MONSON,STEVEN,84003,American Fork,Utah,UT,Family Practice,523,41,0.0784,,
2015,1316064421,SUMPTER,ROBERT,84003,American Fork,Utah,UT,Physician Assistant,515,216,0.4194,,
2015,1376505123,BALL,CARLA,84003,American Fork,Utah,UT,Nurse Practitioner,482,0,0,,
2015,1457493967,CHIPMAN,GREGORY,84003,American Fork,Utah,UT,Hematology/Oncology,476,63,0.1324,12,0.1905
2016,1215119953,MONTGOMERY,JASON,84003,American Fork,Utah,UT,Physician Assistant,463,197,0.4255,,
2015,1821046418,ROGERS,SCOTT,84003,American Fork,Utah,UT,Podiatry,457,85,0.186,,
2015,1295176410,VREELAND,MICHAEL,84003,American Fork,Utah,UT,Nurse Practitioner,451,,,,
2016,1134287550,BUTLER,TODD,84332,Logan,Cache,UT,Dentist,23,,,0,
2016,1437348943,OWENS,CASEY,84003,American Fork,Utah,UT,Internal Medicine,427,,,0,
2016,1821046418,ROGERS,SCOTT,84003,American Fork,Utah,UT,Podiatry,392,60,0.1531,0,0
2016,1740371376,WELLS,JOHN,84003,American Fork,Utah,UT,Orthopedic Surgery,380,177,0.4658,0,0
2016,1831149616,DENYS,DOUGLAS,84003,American Fork,Utah,UT,Otolaryngology,380,12,0.0316,0,0
2016,1528172863,GOODSELL,BRENT,84003,American Fork,Utah,UT,Dermatology,376,,,0,
2015,1588691190,GARDENHIRE,BARRY,84003,American Fork,Utah,UT,Emergency Medicine,363,108,0.2975,,
2015,1740371376,WELLS,JOHN,84003,American Fork,Utah,UT,Orthopedic Surgery,363,183,0.5041,,
2015,1518968387,WEST,STEWART,84003,American Fork,Utah,UT,Dermatology,353,,,,
2015,1932149895,STOCK,GORDON,84003,American Fork,Utah,UT,Orthopedic Surgery,353,127,0.3598,,
2015,1013929090,BELL,CARL,84003,American Fork,Utah,UT,Family Practice,349,,,,
2016,1740296730,HARRIS,DIXIE,84003,American Fork,Utah,UT,Pulmonary Disease,337,,,0,
2015,1831149616,DENYS,DOUGLAS,84003,American Fork,Utah,UT,Otolaryngology,327,38,0.1162,,
2016,1588691190,GARDENHIRE,BARRY,84003,American Fork,Utah,UT,Emergency Medicine,308,92,0.2987,0,0
2016,1093789299,PETTIT,KIMBERLY,84003,American Fork,Utah,UT,Dermatology,304,0,0,0,
2015,1447209473,PARKER,KENDRA,84003,American Fork,Utah,UT,Physician Assistant,297,102,0.3434,,
2015,1215119953,MONTGOMERY,JASON,84003,American Fork,Utah,UT,Physician Assistant,293,144,0.4915,,
2015,1174808596,SUMMERS,SCOTT,84003,American Fork,Utah,UT,Nurse Practitioner,273,,,,
2016,1598013625,GARDNER,ADAM,84003,American Fork,Utah,UT,Physician Assistant,272,,,0,
2015,1528172863,GOODSELL,BRENT,84003,American Fork,Utah,UT,Dermatology,271,,,,
2015,1073604609,SANDERSON,MARK,84003,American Fork,Utah,UT,Plastic and Reconstructive Surgery,268,113,0.4216,,
2016,1669418455,WALDRON,DAVID,84003,American Fork,Utah,UT,Physician Assistant,267,122,0.4569,,
2015,1184634511,HANSEN,MARLAN,84003,American Fork,Utah,UT,Internal Medicine,267,20,0.0749,,
2016,1518968387,WEST,STEWART,84003,American Fork,Utah,UT,Dermatology,266,,,0,
2016,1447209473,PARKER,KENDRA,84003,American Fork,Utah,UT,Physician Assistant,265,94,0.3547,0,0
2015,1952329088,CLARK,JAY,84003,American Fork,Utah,UT,Radiation Oncology,264,69,0.2614,,
2016,1952354789,BENTLEY,BRADLEY,84003,American Fork,Utah,UT,Emergency Medicine,263,69,0.2624,0,0
2015,1477507200,YOUNG,MICHAEL,84003,American Fork,Utah,UT,Emergency Medicine,248,59,0.2379,,
2015,1356488126,HAMILTON,SANFORD,84003,American Fork,Utah,UT,Otolaryngology,247,18,0.0729,,
2015,1952354789,BENTLEY,BRADLEY,84003,American Fork,Utah,UT,Emergency Medicine,246,74,0.3008,,
2015,1740296730,HARRIS,DIXIE,84003,American Fork,Utah,UT,Pulmonary Disease,242,,,,
2015,1801090659,CROP,JUSTIN,84003,American Fork,Utah,UT,Family Practice,242,14,0.0579,,
2015,1750628004,ADAMS,LINDSAY,84003,American Fork,Utah,UT,Physician Assistant,236,,,,
2016,1952329088,CLARK,JAY,84003,American Fork,Utah,UT,Radiation Oncology,235,53,0.2255,,
2016,1427108240,HUFF,ELIZABETH,84003,American Fork,Utah,UT,Internal Medicine,224,,,0,
2016,1073604609,SANDERSON,MARK,84003,American Fork,Utah,UT,Plastic and Reconstructive Surgery,223,99,0.4439,0,0
2015,1770539744,BRUNSDALE,LENARD,84003,American Fork,Utah,UT,Emergency Medicine,222,61,0.2748,,
2016,1477507200,YOUNG,MICHAEL,84003,American Fork,Utah,UT,Emergency Medicine,217,51,0.235,0,0
2016,1356488126,HAMILTON,SANFORD,84003,American Fork,Utah,UT,Otolaryngology,214,16,0.0748,0,0
2016,1154575637,SMITH,DAVID,84003,American Fork,Utah,UT,Internal Medicine,210,28,0.1333,,
2015,1336524107,POULSEN,PAMELA,84003,American Fork,Utah,UT,Nurse Practitioner,209,31,0.1483,,
2016,1932149895,STOCK,GORDON,84003,American Fork,Utah,UT,Orthopedic Surgery,207,59,0.285,0,0
2015,1245268390,DAVIS,TODD,84003,American Fork,Utah,UT,Emergency Medicine,202,57,0.2822,,
2016,1770539744,BRUNSDALE,LENARD,84003,American Fork,Utah,UT,Emergency Medicine,198,55,0.2778,0,0
2015,1093789299,PETTIT,KIMBERLY,84003,American Fork,Utah,UT,Dermatology,197,,,,
2016,1245268390,DAVIS,TODD,84003,American Fork,Utah,UT,Emergency Medicine,195,56,0.2872,0,0
2015,1598013625,GARDNER,ADAM,84003,American Fork,Utah,UT,Physician Assistant,195,0,0,,
2016,1861615296,PARKER,KELLI,84003,American Fork,Utah,UT,Nurse Practitioner,191,,,0,
2016,1891748315,MARTIN,STACY,84003,American Fork,Utah,UT,Emergency Medicine,182,50,0.2747,0,0
2016,1801806096,MURDOCK,BRUCE,84003,American Fork,Utah,UT,Dentist,181,34,0.1878,0,0
2016,1174808596,SUMMERS,SCOTT,84003,American Fork,Utah,UT,Nurse Practitioner,177,0,0,0,
2015,1639357254,MILES,BRIAN,84403,Ogden,Weber,UT,Dentist,12,,,,
2015,1861615296,PARKER,KELLI,84003,American Fork,Utah,UT,Nurse Practitioner,176,0,0,,
2015,1891748315,MARTIN,STACY,84003,American Fork,Utah,UT,Emergency Medicine,169,46,0.2722,,
2016,1134316037,CHIPMAN,COREY,84003,American Fork,Utah,UT,Internal Medicine,158,,,,
2016,1063856920,RIRIE,PETER,84003,American Fork,Utah,UT,Ophthalmology,154,,,0,
2016,1245367630,BERRETT,GERALD,84003,American Fork,Utah,UT,Physician Assistant,153,,,0,
2016,1669425146,VANWAGONER,L. SCOTT,84003,American Fork,Utah,UT,Emergency Medicine,147,39,0.2653,0,0
2015,1801806096,MURDOCK,BRUCE,84003,American Fork,Utah,UT,Dentist,147,23,0.1565,,
2016,1194961789,BARNEY,BRANDON,84003,American Fork,Utah,UT,Radiation Oncology,144,28,0.1944,,
2016,1427136605,ADAMS,JEFFREY,84003,American Fork,Utah,UT,Dentist,143,60,0.4196,0,0
2016,1023127214,COSGRAVE,MICHAEL,84003,American Fork,Utah,UT,Family Practice,142,0,0,0,
2015,1669425146,VANWAGONER,L. SCOTT,84003,American Fork,Utah,UT,Emergency Medicine,142,29,0.2042,,
2015,1427136605,ADAMS,JEFFREY,84003,American Fork,Utah,UT,Dentist,136,58,0.4265,,
2016,1346531928,PECK,SHANNON,84003,American Fork,Utah,UT,Physician Assistant,134,0,0,0,
2015,1518292655,HANSON,BRANDON,84003,American Fork,Utah,UT,Physician Assistant,130,112,0.8615,,
2016,1750628004,ADAMS,LINDSAY,84003,American Fork,Utah,UT,Physician Assistant,126,0,0,0,
2015,1194961789,BARNEY,BRANDON,84003,American Fork,Utah,UT,Radiation Oncology,126,32,0.254,,
2015,1437348943,OWENS,CASEY,84003,American Fork,Utah,UT,Internal Medicine,124,,,,
2015,1568669158,GINOCCHIO,OWEN,84003,American Fork,Utah,UT,Physician Assistant,122,,,,
2015,1841271095,GIBSON,BRANDT,84003,American Fork,Utah,UT,Podiatry,113,32,0.2832,,
2015,1346531928,PECK,SHANNON,84003,American Fork,Utah,UT,Physician Assistant,111,0,0,,
2015,1134316037,CHIPMAN,COREY,84003,American Fork,Utah,UT,Internal Medicine,109,,,,
2015,1124449285,CLEMENTS,JAN,84003,American Fork,Utah,UT,Nurse Practitioner,107,,,,
2016,1841271095,GIBSON,BRANDT,84003,American Fork,Utah,UT,Podiatry,104,40,0.3846,0,0
2015,1346478476,SLATER,RYAN,84003,American Fork,Utah,UT,Family Practice,104,33,0.3173,,
2016,1508827072,LAWRENCE,KARI,84003,American Fork,Utah,UT,Obstetrics & Gynecology,93,,,0,
2015,1093138976,WARD,ANDREW,84003,American Fork,Utah,UT,Physician Assistant,93,42,0.4516,,
2016,1093138976,WARD,ANDREW,84003,American Fork,Utah,UT,Physician Assistant,92,61,0.663,0,0
2015,1730147711,PEUGH,WILLIAM,84003,American Fork,Utah,UT,General Surgery,90,36,0.4,,
2015,1295925675,GRONEMAN,NICHOLAS,84003,American Fork,Utah,UT,Dentist,86,26,0.3023,,
2015,1457355869,WALTON,CHARLES,84003,American Fork,Utah,UT,Family Medicine,82,12,0.1463,,
2016,1457355869,WALTON,CHARLES,84003,American Fork,Utah,UT,Family Medicine,81,18,0.2222,0,0
2016,1275724189,CHRISTENSEN,JOSEPH,84003,American Fork,Utah,UT,Dentist,80,28,0.35,0,0
2016,1518292655,HANSON,BRANDON,84003,American Fork,Utah,UT,Physician Assistant,78,64,0.8205,0,0
2016,1346478476,SLATER,RYAN,84003,American Fork,Utah,UT,Family Practice,77,27,0.3506,0,0
2016,1730147711,PEUGH,WILLIAM,84003,American Fork,Utah,UT,General Surgery,74,29,0.3919,0,0
2015,1275724189,CHRISTENSEN,JOSEPH,84003,American Fork,Utah,UT,Dentist,69,30,0.4348,,
2016,1689633877,SIMMONS,ROBERT,84003,American Fork,Utah,UT,Optometry,68,,,0,
2016,1003872433,JONES,RYAN,84003,American Fork,Utah,UT,Obstetrics & Gynecology,65,,,0,
2016,1790906279,CLOWARD,TENNILLE,84003,American Fork,Utah,UT,Obstetrics & Gynecology,62,,,0,
2015,1013055235,ROSVALL,L.,84003,American Fork,Utah,UT,Dentist,62,,,,
2015,1811391121,SCHMUTZ,DANELLE,84003,American Fork,Utah,UT,Physician Assistant,62,,,,
2016,1013055235,ROSVALL,L.,84003,American Fork,Utah,UT,Dentist,60,,,0,
2016,1508928169,ROBERTS,KIM,84003,American Fork,Utah,UT,Dentist,58,17,0.2931,0,0
2016,1801000401,CLARKE,JAMES,84003,American Fork,Utah,UT,Urology,58,0,0,0,
2016,1013120195,PITTS,GREG,84003,American Fork,Utah,UT,Dentist,57,,,0,
2016,1144285925,HOOTON,KENNETH,84003,American Fork,Utah,UT,Optometry,56,0,0,0,
2016,1679501720,WILCOX,RYAN,84003,American Fork,Utah,UT,Pediatric Medicine,56,,,0,
2016,1710114962,SHELTON,SCOTT,84003,American Fork,Utah,UT,Podiatry,56,,,0,
2015,1710114962,SHELTON,SCOTT,84003,American Fork,Utah,UT,Podiatry,56,,,,
2016,1215956768,JONES,MICHAEL,84003,American Fork,Utah,UT,Emergency Medicine,55,,,0,
2015,1548206873,DAVIS,JOHN,84003,American Fork,Utah,UT,Pediatric Medicine,55,,,,
2015,1184732018,LIND,BRENT,84003,American Fork,Utah,UT,Obstetrics/Gynecology,54,0,0,,
2016,1285723114,PATTERSON,ROBERT,84003,American Fork,Utah,UT,General Surgery,52,22,0.4231,0,0
2015,1417906181,SHEFFIELD,CLARK,84003,American Fork,Utah,UT,General Surgery,52,31,0.5962,,
2016,1316002389,ALCORN,JAMES,84003,American Fork,Utah,UT,Dentist,51,12,0.2353,0,0
2015,1154575637,SMITH,DAVID,84003,American Fork,Utah,UT,Internal Medicine,48,,,,
2015,1790906279,CLOWARD,TENNILLE,84003,American Fork,Utah,UT,Obstetrics/Gynecology,48,0,0,,
2016,1548206873,DAVIS,JOHN,84003,American Fork,Utah,UT,Pediatric Medicine,47,0,0,0,
2015,1184647281,RICHARDS,BRUCE,84003,American Fork,Utah,UT,Dentist,47,,,,
2015,1508928169,ROBERTS,KIM,84003,American Fork,Utah,UT,Dentist,47,26,0.5532,,
2016,1184647281,RICHARDS,BRUCE,84003,American Fork,Utah,UT,Dentist,46,,,0,
2015,1568487312,HANSEN,CLAYTON,84003,American Fork,Utah,UT,Dentist,46,,,,
2015,1932212503,LAMOREAUX,JAMES,84003,American Fork,Utah,UT,Obstetrics/Gynecology,46,,,,
2015,1144285925,HOOTON,KENNETH,84003,American Fork,Utah,UT,Optometry,44,0,0,,
2015,1508827072,LAWRENCE,KARI,84003,American Fork,Utah,UT,Obstetrics/Gynecology,44,,,,
2015,1780649566,HOOLEY,LORI,84003,American Fork,Utah,UT,Optometry,44,0,0,,
2015,1801000401,CLARKE,JAMES,84003,American Fork,Utah,UT,Urology,44,0,0,,
2016,1568487312,HANSEN,CLAYTON,84003,American Fork,Utah,UT,Dentist,43,0,0,0,
2015,1013120195,PITTS,GREG,84003,American Fork,Utah,UT,Dentist,43,,,,
2015,1275553612,BANKS,ALAN,84003,American Fork,Utah,UT,Orthopaedic Surgery,43,,,,
2015,1285723114,PATTERSON,ROBERT,84003,American Fork,Utah,UT,General Surgery,43,27,0.6279,,
2016,1780649566,HOOLEY,LORI,84003,American Fork,Utah,UT,Optometry,42,0,0,0,
2016,1922158096,TAYLOR,PATRICIA,84003,American Fork,Utah,UT,Psychologist (billing independently),42,0,0,0,
2015,1215956768,JONES,MICHAEL,84003,American Fork,Utah,UT,Emergency Medicine,42,,,,
2015,1881861516,BURR,DANIEL,84003,American Fork,Utah,UT,Dentist,42,17,0.4048,,
2015,1427108240,HUFF,ELIZABETH,84003,American Fork,Utah,UT,Internal Medicine,39,0,0,,
2016,1275553612,BANKS,ALAN,84003,American Fork,Utah,UT,Orthopaedic Surgery,38,,,0,
2015,1245296623,WATABE,BRYAN,84003,American Fork,Utah,UT,Obstetrics/Gynecology,38,,,,
2016,1912028077,EREKSON,DAVID,84003,American Fork,Utah,UT,Dentist,36,18,0.5,0,0
2016,1932212503,LAMOREAUX,JAMES,84003,American Fork,Utah,UT,Obstetrics & Gynecology,35,,,0,
2015,1912028077,EREKSON,DAVID,84003,American Fork,Utah,UT,Dentist,34,15,0.4412,,
2016,1245313121,COLES,DANIEL,84003,American Fork,Utah,UT,Dentist,33,,,0,
2015,1649364670,DAVIES,KENDELL,84003,American Fork,Utah,UT,Dentist,33,,,,
2016,1811391121,SCHMUTZ,DANELLE,84003,American Fork,Utah,UT,Physician Assistant,32,0,0,0,
2016,1952451429,TAYLOR,MICHAEL,84003,American Fork,Utah,UT,Anesthesiology,32,,,0,
2015,1003950833,LIDDLE,JOSEPH,84003,American Fork,Utah,UT,Dentist,32,11,0.3438,,
2015,1316002389,ALCORN,JAMES,84003,American Fork,Utah,UT,Dentist,32,,,,
2016,1003950833,LIDDLE,JOSEPH,84003,American Fork,Utah,UT,Dentist,31,,,0,
2016,1225113798,JORGENSEN,MICHELLE,84003,American Fork,Utah,UT,Dentist,31,,,0,
2015,1225113798,JORGENSEN,MICHELLE,84003,American Fork,Utah,UT,Dentist,31,,,,
2016,1881861516,BURR,DANIEL,84003,American Fork,Utah,UT,Dentist,30,11,0.3667,0,0
2015,1689633877,SIMMONS,ROBERT,84003,American Fork,Utah,UT,Optometry,30,0,0,,
2016,1831106004,ANDERSON,JOHN,84003,American Fork,Utah,UT,Dentist,29,,,0,
2016,1417906181,SHEFFIELD,CLARK,84003,American Fork,Utah,UT,General Surgery,28,22,0.7857,0,0
2016,1245296623,WATABE,BRYAN,84003,American Fork,Utah,UT,Obstetrics & Gynecology,27,0,0,0,
2015,1245313121,COLES,DANIEL,84003,American Fork,Utah,UT,Dentist,26,,,,
2015,1396932224,JENSEN,SCOTT,84003,American Fork,Utah,UT,Dentist,26,,,,
2015,1982640751,BATEMAN,BLAINE,84003,American Fork,Utah,UT,Dentist,26,,,,
2015,1952451429,TAYLOR,MICHAEL,84003,American Fork,Utah,UT,Anesthesiology,25,0,0,,
2016,1487630588,WEAVER,STEVEN,84003,American Fork,Utah,UT,Optometry,24,0,0,0,
2016,1508216698,GRAY,KRISTA,84003,American Fork,Utah,UT,Nurse Practitioner,24,,,0,
2016,1982640751,BATEMAN,BLAINE,84003,American Fork,Utah,UT,Dentist,24,,,0,
2015,1992882781,MEYERS,JONATHAN,84003,American Fork,Utah,UT,Anesthesiology,24,,,,
2016,1255377578,BATEMAN,JOSHUA,84003,American Fork,Utah,UT,Dentist,23,,,0,
2015,1710940952,HARDY-SEAMONS,KATHRYN,84003,American Fork,Utah,UT,Midwife,23,0,0,,
2016,1295925675,GRONEMAN,NICHOLAS,84003,American Fork,Utah,UT,Dentist,22,,,0,
2016,1477728343,HASKETT,SEAN,84003,American Fork,Utah,UT,Obstetrics & Gynecology,22,,,0,
